Entity,Code,AvgLifeExpectancy
Solomon Islands,SLB,60.460630555555554
Somalia,SOM,47.44033888888889
South Africa,ZAF,57.603076388888894
South Korea,KOR,67.40391249999999
South Sudan,SSD,38.03310694444444
Spain,ESP,75.53994583333333
Sri Lanka,LKA,67.94568055555555
Sudan,SDN,53.0712375
Suriname,SUR,63.00174583333333
Sweden,SWE,77.16571527777778
Switzerland,CHE,76.74964722222222
Syria,SYR,63.98828055555556
Taiwan,TWN,71.66916527777778
Tajikistan,TJK,60.322637500000006
Tanzania,TZA,51.44156805555556
Thailand,THA,64.92368472222222
Togo,TGO,51.18703472222222
Tokelau,TKL,66.66818611111111
Tonga,TON,65.27894861111112
Trinidad and Tobago,TTO,67.35386527777777
Tunisia,TUN,62.641487500000004
Turkey,TUR,64.04613888888889
Turkmenistan,TKM,61.234361111111106
Turks and Caicos Islands,TCA,66.83902083333334
Tuvalu,TUV,57.460593055555556
Uganda,UGA,48.98934583333333
Ukraine,UKR,69.20140833333333
United Arab Emirates,ARE,66.15268750000001
United Kingdom,GBR,75.13918472222223
United States,USA,74.1658013888889
United States Virgin Islands,VIR,69.1235375
Uruguay,URY,72.05457361111111
Uzbekistan,UZB,63.59829583333333
Vanuatu,VUT,61.27035138888888
Venezuela,VEN,67.16043888888889
Vietnam,VNM,65.72974305555556
Wallis and Futuna,WLF,63.12890416666667
Western Sahara,ESH,52.04436388888889
Yemen,YEM,51.64615972222222
Zambia,ZMB,51.56465972222222
Zimbabwe,ZWE,54.24622222222222
